"Month Key","Month-Year","Total Incidents","Austin Incidents","Travis County Incidents","Other Area Incidents","Combined Austin and Travis County Incidents","Austin P1 Incidents","Austin P2 Incidents","Austin P3 Incidents","Austin P4 Incidents","Austin P5 Incidents","Travis County P1 Incidents","Travis County P2 Incidents","Travis County P3 Incidents","Travis County P4 Incidents","Travis County P5 Incidents","Overall On-Time Compliance","Austin On-Time Compliance","Travis County On-Time Compliance","Austin P1 On-Time Compliance","Austin P2 On-Time Compliance","Austin P3 On-Time Compliance","Austin P4 On-Time Compliance","Austin P5 On-Time Compliance","Travis County P1 On-Time Compliance","Travis County P2 On-Time Compliance","Travis County P3 On-Time Compliance","Travis County P4 On-Time Compliance","Travis County P5 On-Time Compliance","Target On-Time Compliance"
"202209","Sep 2022","11,819","10,200","1,575","44","11,775","793","2,421","2,306","3,127","1,553","111","411","309","571","173","85.17%","85.78%","81.09%","73.94%","81.71%","86.84%","91.63%","85.17%","68.57%","74.16%","79.86%","89.98%","81.76%","90%"
"202210","Oct 2022","11,765","10,151","1,568","46","11,719","821","2,594","1,895","2,924","1,917","108","475","269","529","187","84.50%","85.48%","78.14%","74.97%","80.42%","86.92%","92.05%","85.99%","56.31%","70.52%","75.19%","89.51%","85.21%","90%"
"202211","Nov 2022","10,876","9,330","1,481","65","10,811","772","2,630","1,669","2,587","1,672","124","472","226","478","181","84.98%","85.65%","80.67%","79.15%","80.57%","86.89%","92.48%","85.54%","71.79%","73.12%","79.63%","90.66%","83.85%","90%"
"202212","Dec 2022","11,086","9,485","1,536","65","11,021","737","2,591","1,735","2,655","1,767","105","477","238","520","196","85.37%","86.21%","80.06%","77.36%","80.77%","87.70%","92.25%","87.91%","66.33%","70.15%","85.20%","88.72%","84.62%","90%"
"202301","Jan 2023","10,911","9,323","1,527","61","10,850","709","2,559","1,655","2,691","1,709","97","493","255","486","196","84.97%","85.60%","81.05%","78.14%","80.40%","88.04%","91.23%","85.89%","63.16%","72.61%","83.54%","91.22%","86.11%","90%"
"202302","Feb 2023","10,701","9,192","1,454","55","10,646","604","2,850","1,322","2,704","1,712","99","499","169","490","197","79.88%","80.36%","76.72%","73.16%","75.84%","79.76%","87.66%","79.84%","65.56%","70.19%","77.36%","87.44%","75.14%","90%"
"202303","Mar 2023","11,504","9,878","1,593","33","11,471","765","3,158","1,294","2,773","1,888","84","555","190","584","180","80.41%","80.54%","79.57%","74.13%","76.74%","77.94%","88.66%","79.91%","63.01%","71.93%","77.65%","89.51%","84.81%","90%"
"202304","Apr 2023","10,984","9,466","1,484","34","10,950","759","3,028","1,242","2,634","1,803","107","519","170","507","181","79.02%","79.44%","76.29%","70.54%","76.46%","77.47%","87.43%","78.49%","63.16%","69.94%","64.78%","89.79%","79.64%","90%"
"202305","May 2023","11,868","10,185","1,635","48","11,820","797","3,187","1,350","2,879","1,972","99","595","214","554","173","81.01%","81.47%","78.07%","76.32%","76.94%","80.58%","87.16%","83.74%","71.58%","68.61%","79.90%","87.18%","86.62%","90%"
"202306","Jun 2023","11,850","10,205","1,591","54","11,796","863","3,143","1,238","2,965","1,996","104","585","181","534","187","79.93%","80.29%","77.60%","75.09%","74.87%","77.54%","88.50%","81.17%","60.00%","68.40%","82.46%","87.99%","84.00%","90%"
"202307","Jul 2023","12,107","10,409","1,640","58","12,049","859","3,230","1,309","3,144","1,867","125","626","151","536","202","81.56%","81.86%","79.63%","76.01%","78.01%","77.21%","88.67%","83.55%","66.07%","70.76%","76.39%","92.34%","86.74%","90%"
"202308","Aug 2023","12,471","10,745","1,657","69","12,402","848","3,288","1,335","3,098","2,176","117","653","163","533","191","79.52%","79.76%","77.91%","72.70%","74.87%","77.00%","85.51%","84.00%","59.46%","71.24%","76.00%","88.86%","85.79%","90%"
"202309","Sep 2023","11,778","10,151","1,571","56","11,722","847","3,162","1,277","2,975","1,890","121","560","177","527","186","79.77%","80.14%","77.33%","71.78%","75.63%","77.36%","86.82%","83.28%","67.27%","70.34%","73.94%","87.00%","83.72%","90%"
"202310","Oct 2023","11,262","9,730","1,483","49","11,213","753","3,140","1,123","2,990","1,724","86","554","175","496","172","80.73%","80.85%","79.88%","69.84%","76.80%","77.18%","87.81%","83.96%","68.42%","72.88%","77.19%","87.44%","91.19%","90%"
"202311","Nov 2023","10,410","8,905","1,448","57","10,353","743","3,010","1,049","2,655","1,448","114","541","149","496","148","80.65%","81.26%","76.86%","72.48%","77.87%","77.68%","88.56%","82.84%","63.30%","68.36%","72.99%","90.63%","81.25%","90%"
"202312","Dec 2023","11,128","9,431","1,640","57","11,071","763","3,168","1,123","2,850","1,527","123","620","185","519","193","80.77%","81.29%","77.70%","76.02%","76.91%","79.08%","89.46%","80.24%","58.47%","70.83%","77.01%","89.12%","85.80%","90%"
"202401","Jan 2024","11,242","9,618","1,570","54","11,188","786","3,265","1,189","2,778","1,600","123","592","149","523","183","79.62%","79.94%","77.61%","69.52%","75.97%","79.05%","88.79%","79.08%","61.82%","68.14%","76.30%","90.79%","85.88%","90%"
"202402","Feb 2024","10,432","8,947","1,440","45","10,387","693","3,015","1,152","2,593","1,494","124","535","144","464","173","81.76%","82.13%","79.41%","72.35%","79.10%","80.65%","89.02%","82.19%","58.93%","72.66%","82.17%","91.14%","84.05%","90%"
"202403","Mar 2024","11,428","9,806","1,557","65","11,363","729","3,240","1,173","2,896","1,768","102","617","146","501","191","83.69%","84.02%","81.63%","78.33%","80.41%","80.50%","89.70%","86.47%","64.29%","74.62%","79.41%","93.18%","87.50%","90%"
"202404","Apr 2024","11,193","9,630","1,514","49","11,144","758","3,043","1,149","3,049","1,631","99","570","167","525","153","82.54%","83.14%","78.73%","74.25%","78.04%","82.13%","89.88%","85.47%","62.77%","70.47%","77.85%","88.58%","90.98%","90%"
"202405","May 2024","12,466","10,689","1,710","67","12,399","789","3,472","1,241","3,274","1,913","136","645","185","558","186","81.31%","81.88%","77.71%","71.80%","78.19%","78.82%","87.09%","86.16%","58.20%","72.05%","69.19%","89.42%","87.43%","90%"
"202406","Jun 2024","12,147","10,448","1,633","66","12,081","828","3,307","1,210","3,167","1,936","118","633","173","523","186","80.80%","81.54%","76.04%","70.35%","77.11%","77.51%","88.25%","85.92%","61.47%","64.39%","76.83%","91.14%","85.71%","90%"
"202407","Jul 2024","12,053","10,418","1,558","77","11,976","830","3,447","1,247","3,055","1,839","103","585","156","539","175","81.17%","81.67%","77.83%","74.80%","76.32%","78.41%","89.21%","85.03%","67.35%","71.53%","72.34%","86.32%","86.34%","90%"
"202408","Aug 2024","12,439","10,698","1,677","64","12,375","843","3,586","1,210","3,154","1,905","117","633","145","595","187","80.79%","81.11%","78.71%","75.30%","77.19%","77.75%","87.36%","83.29%","59.46%","72.94%","73.72%","89.80%","82.63%","90%"
"202409","Sep 2024","11,758","10,099","1,594","65","11,693","807","3,383","1,115","3,014","1,780","118","581","159","519","217","81.16%","81.54%","78.71%","71.79%","78.66%","77.27%","87.51%","84.11%","63.89%","72.24%","73.47%","89.12%","86.24%","90%"
"202410","Oct 2024","11,925","10,258","1,598","69","11,856","772","3,536","1,121","3,065","1,764","72","594","168","565","199","79.84%","80.10%","78.15%","71.43%","76.48%","76.05%","85.99%","83.84%","62.69%","67.66%","73.72%","89.34%","89.95%","90%"
"202411","Nov 2024","11,240","9,620","1,540","80","11,160","672","3,270","1,175","3,006","1,497","85","608","155","509","183","82.96%","83.35%","80.52%","78.99%","79.36%","80.91%","87.60%","87.87%","60.00%","74.44%","77.40%","90.39%","88.30%","90%"
"202412","Dec 2024","10,975","9,244","1,609","122","10,853","681","3,210","1,162","2,909","1,282","87","654","166","510","192","85.04%","85.47%","82.53%","74.84%","82.81%","80.05%","90.15%","92.64%","65.88%","76.84%","83.01%","89.44%","93.26%","90%"
"202501","Jan 2025","11,164","9,323","1,708","133","11,031","695","3,392","1,153","2,835","1,248","119","718","168","511","192","84.43%","84.80%","82.35%","74.85%","81.09%","80.42%","90.52%","92.28%","72.57%","77.17%","77.85%","90.93%","91.21%","90%"
"202502","Feb 2025","10,461","8,889","1,439","133","10,328","684","3,305","1,173","2,660","1,067","105","581","121","472","160","84.75%","84.98%","83.32%","78.14%","81.54%","79.34%","89.58%","95.51%","71.29%","77.39%","75.00%","92.42%","95.30%","90%"
"202503","Mar 2025","11,544","9,764","1,642","138","11,406","731","3,524","1,213","3,136","1,160","106","634","154","598","150","83.86%","84.11%","82.37%","74.45%","81.36%","80.38%","87.04%","94.96%","71.13%","75.12%","77.93%","90.54%","94.37%","90%"
"202504","Apr 2025","11,169","9,460","1,570","139","11,030","742","3,481","1,168","3,027","1,042","98","620","153","546","153","82.62%","82.72%","81.97%","75.76%","79.70%","78.69%","85.33%","95.52%","69.15%","73.54%","80.14%","91.28%","96.62%","90%"
"202505","May 2025","11,569","9,741","1,667","161","11,408","735","3,490","1,242","3,204","1,070","114","634","165","582","172","81.61%","81.66%","81.30%","71.41%","79.51%","75.00%","84.75%","94.64%","64.81%","74.67%","78.29%","88.66%","96.97%","90%"
"202506","Jun 2025","10,875","9,185","1,562","128","10,747","690","3,372","1,150","2,964","1,009","104","612","177","501","168","82.81%","83.30%","79.93%","77.72%","80.88%","75.98%","86.13%","95.28%","66.67%","72.03%","78.79%","87.44%","98.10%","90%"
"202507","Jul 2025","11,183","9,371","1,633","179","11,004","607","1,715","2,195","3,612","1,242","115","314","400","602","202","81.21%","81.54%","79.20%","76.92%","82.79%","83.53%","75.28%","95.99%","54.74%","70.99%","80.75%","80.73%","96.84%","90%"
"202508","Aug 2025","11,661","9,846","1,679","136","11,525","657","1,184","3,659","3,181","1,165","112","229","629","523","186","78.00%","77.79%","79.27%","75.99%","78.46%","82.08%","66.27%","95.67%","58.95%","73.36%","81.28%","77.35%","96.00%","90%"
"202509","Sep 2025","11,260","9,384","1,733","143","11,117","671","1,158","3,275","3,242","1,038","88","265","601","614","165","78.81%","78.66%","79.62%","76.32%","79.05%","81.97%","69.63%","97.15%","69.05%","69.69%","81.96%","78.35%","97.45%","90%"
"202510","Oct 2025","11,516","9,713","1,677","126","11,390","662","1,164","2,810","3,952","1,125","112","233","514","630","188","79.50%","79.40%","80.13%","73.18%","79.70%","84.22%","72.35%","95.37%","59.43%","77.73%","83.72%","77.01%","95.56%","90%"
"202511","Nov 2025","10,750","9,046","1,561","143","10,607","705","1,050","2,588","3,687","1,016","97","226","496","571","171","81.63%","81.18%","84.28%","76.62%","82.49%","85.53%","74.56%","95.86%","67.39%","82.08%","88.89%","79.06%","100.00%","90%"
"202512","Dec 2025","11,204","9,396","1,674","134","11,070","711","1,218","2,539","3,891","1,037","110","242","518","638","166","82.02%","81.93%","82.52%","77.40%","79.30%","86.23%","76.99%","95.93%","67.31%","78.17%","85.77%","80.03%","98.11%","90%"
"202601","Jan 2026","11,126","9,332","1,643","151","10,975","481","1,111","2,735","3,863","1,142","82","217","501","650","193","82.92%","83.04%","82.24%","79.22%","83.62%","86.10%","77.14%","96.90%","61.84%","82.84%","81.95%","80.28%","96.74%","90%"
"202602","Feb 2026","10,547","8,876","1,554","117","10,430","350","1,065","2,695","3,712","1,054","78","201","499","615","161","82.44%","82.47%","82.29%","80.00%","83.05%","86.00%","76.12%","96.27%","69.86%","77.08%","84.38%","80.59%","94.70%","90%"
