ID,Crash ID,crash_fatal_fl,case_id,Primary address,Secondary address,rpt_block_num,rpt_street_name,rpt_street_sfx,crash_speed_limit,road_constr_zone_fl,latitude,longitude,crash_sev_id,sus_serious_injry_cnt,nonincap_injry_cnt,poss_injry_cnt,non_injry_cnt,unkn_injry_cnt,tot_injry_cnt,death_cnt,units_involved,point,motor_vehicle_death_count,motor_vehicle_serious_injury_count,bicycle_death_count,bicycle_serious_injury_count,pedestrian_death_count,pedestrian_serious_injury_count,motorcycle_death_count,motorcycle_serious_injury_count,other_death_count,other_serious_injury_count,onsys_fl,private_dr_fl,micromobility_serious_injury_count,micromobility_death_count,Crash timestamp (US/Central),Crash timestamp,Is deleted,Is temporary record,Law enforcement fatality count,Reported street prefix,Estimated Maximum Comprehensive Cost,Estimated Total Comprehensive Cost
1360959,20769343,FALSE,251100581,9400 RESEARCH BLVD SB,N CAPITAL OF TEXAS HWY SB,9400,RESEARCH BLVD SB,,55,TRUE,30.3839782,-97.74249307,5,0,0,0,2,0,0,0,Large passenger vehicle,POINT (-97.74249307 30.3839782),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 9:34:00 AM,04/20/2025 2:34:00 PM,FALSE,FALSE,0,,20000,40000
1360922,20769168,FALSE,251100577,6900 N MOPAC EXPY SB,FAR WEST BLVD,6900,N MOPAC EXPY SB,,60,FALSE,30.33900906,-97.75494356,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.75494356 30.33900906),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 9:29:00 AM,04/20/2025 2:29:00 PM,FALSE,FALSE,0,,20000,20000
1360958,20769342,FALSE,251100558,6100 N CAPITAL OF TEXAS HWY SB,6100 FM 2222 RD RD,6100,N CAPITAL OF TEXAS HWY SB,,60,FALSE,30.36041247,-97.7932495,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.7932495 30.36041247),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 9:03:00 AM,04/20/2025 2:03:00 PM,FALSE,FALSE,0,,20000,20000
1360960,20769344,FALSE,251100522,9500 N RESEARCH BLVD,N CAP TX HWY,9500,RESEARCH,BLVD,65,TRUE,30.38685243,-97.7439557,5,0,0,0,3,0,0,0,Passenger car,POINT (-97.7439557 30.38685243),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 8:01:00 AM,04/20/2025 1:01:00 PM,FALSE,FALSE,0,,20000,60000
1362357,20793904,FALSE,251100524,5609 LOCAL RD,3600 JUDSON RD,5609,LOCAL RD,,40,FALSE,30.21359842,-97.72355137,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.72355137 30.21359842),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 8:00:00 AM,04/20/2025 1:00:00 PM,FALSE,FALSE,0,,20000,40000
1360921,20769167,FALSE,251100502,14027 NOT REPORTED,9210 W PARMER,14027,NOT REPORTED,,75,FALSE,30.47628135,-97.76491183,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.76491183 30.47628135),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 7:38:00 AM,04/20/2025 12:38:00 PM,FALSE,FALSE,0,,20000,20000
1361069,20769341,FALSE,251100475,3900 N LAMAR BLVD,W 40TH ST,3900,N LAMAR BLVD,,35,FALSE,30.3076416,-97.74155249,3,0,0,1,0,0,1,0,Motorcycle,POINT (-97.74155249 30.3076416),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 7:05:00 AM,04/20/2025 12:05:00 PM,FALSE,FALSE,0,,200000,200000
1361096,20770822,FALSE,251100311,6100 AIRPORT BLVD,101 DENSON DR,6100,AIRPORT BLVD,,35,FALSE,30.32724988,-97.7160507,5,0,0,0,1,0,0,0,Passenger car,POINT (-97.7160507 30.32724988),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 3:08:00 AM,04/20/2025 8:08:00 AM,FALSE,FALSE,0,,20000,20000
1361072,20769410,FALSE,251100252,11600 N MOPAC EXPY NB EXPY,3200 DUVAL RD RD,11600,N MOPAC EXPY NB,EXPY,65,FALSE,30.4081741,-97.71758254,2,0,1,0,0,0,1,0,Passenger car,POINT (-97.71758254 30.4081741),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/20/2025 2:30:00 AM,04/20/2025 7:30:00 AM,FALSE,FALSE,0,,250000,250000
1361049,20769166,FALSE,251100260,9800 GILES LN LN,7000 BLUE GOOSE RD RD,9800,GILES LN,LN,45,FALSE,30.33769464,-97.61932593,5,0,0,0,2,0,0,0,Passenger car,POINT (-97.61932593 30.33769464),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 2:29:00 AM,04/20/2025 7:29:00 AM,FALSE,FALSE,0,,20000,40000
1361070,20769347,FALSE,251100203,100 COMAL ST ST,100 E E CESAR CHAVEZ ST,100,COMAL ST,ST,35,FALSE,30.25851478,-97.72865247,5,0,0,0,3,0,0,0,Passenger car,POINT (-97.72865247 30.25851478),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 1:59:00 AM,04/20/2025 6:59:00 AM,FALSE,FALSE,0,,20000,60000
1360956,20769339,FALSE,251100169,600 W 6TH ST,NUECES ST,600,W 6TH ST,,25,FALSE,30.26968767,-97.74867641,5,0,0,0,2,0,0,0,Large passenger vehicle & Passenger car,POINT (-97.74867641 30.26968767),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 1:31:00 AM,04/20/2025 6:31:00 AM,FALSE,FALSE,0,,20000,40000
1361053,20769180,FALSE,251100126,GROVE BLVD BLVD,N MONTOPOLIS DR,,GROVE BLVD,BLVD,-1,FALSE,30.22017532,-97.70702027,5,0,0,0,1,0,0,0,Large passenger vehicle,POINT (-97.70702027 30.22017532),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 1:06:00 AM,04/20/2025 6:06:00 AM,FALSE,FALSE,0,,20000,20000
1361275,20769164,FALSE,251100007,600 NUECES ST ST,W 6TH ST,600,NUECES ST,ST,30,FALSE,30.26996795,-97.74829885,5,0,0,0,8,0,0,0,Passenger car,POINT (-97.74829885 30.26996795),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/20/2025 12:02:00 AM,04/20/2025 5:02:00 AM,FALSE,FALSE,0,,20000,160000
1360955,20769338,FALSE,251091693,10508 N LAMAR BLVD,N MEADOWS DR,10508,LAMAR,BLVD,35,FALSE,30.37437339,-97.69068713,2,0,2,0,1,0,2,0,Large passenger vehicle & Passenger car,POINT (-97.69068713 30.37437339),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 11:19:00 PM,04/20/2025 4:19:00 AM,FALSE,FALSE,0,,250000,520000
1360918,20769162,FALSE,251091498,1125 E 7TH ST,700 WALLER ST,1125,7TH ST,,30,FALSE,30.26536478,-97.73029247,3,0,0,1,1,0,1,0,Passenger car,POINT (-97.73029247 30.26536478),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 9:30:00 PM,04/20/2025 2:30:00 AM,FALSE,FALSE,0,,200000,220000
1360917,20769161,FALSE,251091440,12200 RIATA TRACE PKWY,12200 ALAMEDA TRACE CIR,12200,RIATA TRACE PKWY,,40,FALSE,30.42910027,-97.75105675,3,0,0,1,0,0,1,0,Large passenger vehicle,POINT (-97.75105675 30.42910027),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 8:57:00 PM,04/20/2025 1:57:00 AM,FALSE,FALSE,0,,200000,200000
1361052,20769174,FALSE,251091263,2500 S GROVE BLVD BLVD,6300 S MONTOPOLIS DR DR,2500,GROVE BLVD,BLVD,35,FALSE,30.22017479,-97.70702247,5,0,0,0,4,0,0,0,Passenger car,POINT (-97.70702247 30.22017479),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 7:05:00 PM,04/20/2025 12:05:00 AM,FALSE,FALSE,0,,20000,80000
1361000,20770215,FALSE,251091243,837 E 38 12 ST,837 E 38TH ST,837,38 12,ST,35,FALSE,30.29621929,-97.72430986,3,0,0,1,1,0,1,0,Large passenger vehicle,POINT (-97.72430986 30.29621929),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 6:53:00 PM,04/19/2025 11:53:00 PM,FALSE,FALSE,0,,200000,220000
1360966,20769412,FALSE,251091219,12349 METRIC BLVD BLVD,12000 LAMPLIGHT VILLAGE AVE AVE,12349,METRIC BLVD,BLVD,40,FALSE,30.41086588,-97.69523334,2,0,1,2,1,0,3,0,Passenger car,POINT (-97.69523334 30.41086588),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 6:32:00 PM,04/19/2025 11:32:00 PM,FALSE,FALSE,0,,250000,670000
1360945,20769324,FALSE,251091179,8500 MOPAC NB,8000 BURNET RD,8500,MOPAC NB,,60,FALSE,30.41826476,-97.70480386,5,0,0,0,5,0,0,0,Passenger car,POINT (-97.70480386 30.41826476),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 6:00:00 PM,04/19/2025 11:00:00 PM,FALSE,FALSE,0,,20000,100000
1360946,20769325,FALSE,251091150,6100 BUFFALO PASS,2400 COLLINS ST,6100,BUFFALO PASS,,-1,FALSE,30.21271422,-97.80549798,2,0,1,0,0,0,1,0,Motorcycle,POINT (-97.80549798 30.21271422),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 5:43:00 PM,04/19/2025 10:43:00 PM,FALSE,FALSE,0,,250000,250000
1361881,20787396,FALSE,251091032,13100 N FM 620 RD,LAKE CREEK PKWY,13100,N FM 620 RD,,45,FALSE,30.46992845,-97.79099181,2,0,1,1,7,0,2,0,Large passenger vehicle,POINT (-97.79099181 30.46992845),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 4:01:00 PM,04/19/2025 9:01:00 PM,FALSE,FALSE,0,,250000,590000
1360952,20769335,FALSE,251090991,2400 W PARMER LN,12500 TOMANET TRL,2400,W PARMER LN,,50,FALSE,30.41822475,-97.70092247,2,0,1,2,0,0,3,0,Passenger car,POINT (-97.70092247 30.41822475),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 3:29:00 PM,04/19/2025 8:29:00 PM,FALSE,FALSE,0,,250000,650000
1364657,20826185,FALSE,251090959,11100 N IH 35 SB,8300 LAZY LN,11100,N IH 35 SB,,65,TRUE,30.37629138,-97.6766672,0,0,0,0,1,1,0,0,Large passenger vehicle & Passenger car,POINT (-97.6766672 30.37629138),0,0,0,0,0,0,0,0,0,0,TRUE,FALSE,0,0,04/19/2025 3:06:00 PM,04/19/2025 8:06:00 PM,FALSE,FALSE,0,,20000,40000
1360953,20769336,FALSE,251090960,400 S CONGRESS AVE,400 S CONGRESS AVE,400,CONGRESS AVE,,35,FALSE,30.25681982,-97.74714799,2,0,1,0,1,0,1,0,Bicycle & Passenger car,POINT (-97.74714799 30.25681982),0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,04/19/2025 3:06:00 PM,04/19/2025 8:06:00 PM,FALSE,FALSE,0,,250000,270000
